"scenario","resource","year","value","lead_times","supply_factor","supply_lead_combined","Units"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2100,8.92616489674365,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",1975,20.018014268371,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",1990,9.32972113681658,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2005,14.9585702290667,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2010,16.0922717462195,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2015,19.2826897038173,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2021,21.6903007206488,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2025,22.9127719674414,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2030,26.8200998101338,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2035,29.9235142194454,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2040,32.5850977592907,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2045,35.1118767310957,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2050,37.1141401314989,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2055,38.9079684190158,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2060,40.7054130314073,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2065,41.4342681243659,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2070,41.8347011838228,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2075,41.3083682724768,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2080,39.6915264531099,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2085,37.4100525576854,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2090,34.5365747116711,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2095,30.8094258927972,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","copper",2100,27.1208043770526,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",1975,0.009775007051513,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",1990,0.012369999039029,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2005,0.020300003066177,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2010,0.024400000575048,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2015,0.032199990491484,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2021,0.10688003872354,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2025,0.149786805969095,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2030,0.292096840692034,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2035,0.424300553127053,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2040,0.490638922389226,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2045,0.577752042976259,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2050,0.622398721867931,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2055,0.667050422534314,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2060,0.710752393613901,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2065,0.724657911597347,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2070,0.736891884081707,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2075,0.724989786202872,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_noTC","lithium",2080,0.688066941328539,"Average lead times","Baseline constrained supply","Average lead times Baseline constrained supply","Mt/yr"
