"","Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"90","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2040,71.6104843925,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"91","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2045,96.839699809625,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"92","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2050,124.75479282495,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"93","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2055,154.307993476125,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"94","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2060,185.703148515325,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"95","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2065,219.0751597286,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"96","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2070,254.58403816175,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"97","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2075,291.9915357369,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"98","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2080,331.378437281,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"99","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2085,372.336840311925,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"100","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2090,414.86562553487,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"101","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2095,459.22786910605,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
